"__src_domain__","__src_entity_type__","__src_entity_id__","__relation_type__","__dest_domain__","__dest_entity_type__","__dest_entity_id__"
"acs","acs.sls.project","e74c5322fbfcdfd568738b0eab0a24e1","contains","acs","acs.sls.logstore","30c082ed36d292f9478a77bd08807507"
"acs","acs.sls.project","339230012a91e834e4513525c2093cc5","contains","acs","acs.sls.logstore","780b5c9be417586d9a59415e948d9c39"
"acs","acs.sls.project","48f2f0acdc147c593768e86e9043fa42","contains","acs","acs.sls.logstore","3346fb446e5c6b13f7c1c05285fa61f9"
"acs","acs.sls.project","dc5ff06587b9d8e39ad66577a65e1c2f","contains","acs","acs.sls.logstore","40281886498f4b36fd001d78c2f9130c"
"acs","acs.sls.project","13b96b9dc47a077f98ea129dca324162","contains","acs","acs.sls.logstore","e9d8706f0ece75bfca92f2b203c9a31e"
"acs","acs.sls.project","21faa0b9ddadd601092ef93198dd80c0","contains","acs","acs.sls.logstore","2b415f6c5b937d9791f6479f29097896"
"acs","acs.sls.project","3c4ed4300befcdc055f525d9aaea768c","contains","acs","acs.sls.logstore","bc9b4ab866336c5da88230ee265ce360"
"acs","acs.sls.project","fec5579adabf90564ec261651f94a977","contains","acs","acs.sls.logstore","7280c36edff3e8eb2fc258b6a442cd10"
"acs","acs.sls.project","0a7c3175a06c8465b04cc22edc1197e9","contains","acs","acs.sls.logstore","163b94a555c1c4b7eb55562b9df5632d"
"acs","acs.sls.project","8a0fa531991d8d6e95193ade5ffb720e","contains","acs","acs.sls.logstore","3b76883b3b57a2676f2561464d582217"
"acs","acs.sls.project","13f58cc9fece59680866aff4dccc3437","contains","acs","acs.sls.logstore","ec9a41290a2e0c26739c22862876a73a"
"acs","acs.sls.project","3fcff022f0f4cfc44af89ba92b6ac164","contains","acs","acs.sls.logstore","bed6ddf68ef163a02b9ec75f7e0ee725"
"acs","acs.sls.project","4fcf7bbd3d49249b5d144ec201318089","contains","acs","acs.sls.logstore","15709df0d28255f60f7bdc847eb89865"
"acs","acs.sls.project","7804315ecc5a2b895481279fdac46544","contains","acs","acs.sls.logstore","ba68a479d8652cb02380c7125f37dc5d"
"acs","acs.sls.project","00341769d05eee4c02375bb1b30ef93c","contains","acs","acs.sls.logstore","8ffcf704a877a71e9900ef62e41dcead"
"acs","acs.sls.project","c4ad08f4d5cb6ef14fcbae3617e1c8ee","contains","acs","acs.sls.logstore","351388c6a6704e503e3e8e63d5a57902"
"acs","acs.sls.project","2ffff3b258f77c1f46c5de89f9307d98","contains","acs","acs.sls.logstore","77c2555a9f0c7e1844955904164cb27e"
"acs","acs.sls.project","5806fb8728fb86f91c13be7eed53ed5d","contains","acs","acs.sls.logstore","faba8076fdc3561baa7ad568310185b1"
"acs","acs.sls.project","b23aa458371ebea73e9211f2088d4405","contains","acs","acs.sls.logstore","262bd39ff827344102057b520cb88114"
"acs","acs.sls.project","1276c2267b13466976107ffab51937a3","contains","acs","acs.sls.logstore","ec4c91aa35884f4ff104f73978332865"
"acs","acs.sls.project","2d56fcf62ebadf8bb10cd6f55aff02f7","contains","acs","acs.sls.logstore","05e926e54a2a8f548023e98ce590b697"
"acs","acs.sls.project","88b472a460ab23cff3464867498e8653","contains","acs","acs.sls.logstore","844c1998445a095057b4e9103a58f15f"
"acs","acs.sls.project","282a3f0a97f25629f31ca57bc2ac2c12","contains","acs","acs.sls.logstore","07a414745dd11652e91471eb3c4e424b"
"acs","acs.sls.project","d67f1605ad8a619fd8989bf46460eac8","contains","acs","acs.sls.logstore","e50100d23eb5cd7ce28c4d1ceadaec3a"
"acs","acs.sls.project","d04532a5173fd6262859a5bdc48ca12e","contains","acs","acs.sls.logstore","1231650365a616ed0a1e6febe251558c"
"acs","acs.sls.project","c1d00d7c91843267f481a2712d0d3dd8","contains","acs","acs.sls.logstore","b944170aa16cc5e93636c9f9b4390f75"
"acs","acs.sls.project","09c9c655bfa7ade9d96eeb1f3c1349cf","contains","acs","acs.sls.logstore","3ff425377fdc17aac19f342e695d3788"
"acs","acs.sls.project","c907be1eade7a9653e23a4eb06aa9b7e","contains","acs","acs.sls.logstore","f51e85822783a27e940d848af9f16a0c"
"acs","acs.sls.project","1f735c8aeeec702e06469d6896d8b1e3","contains","acs","acs.sls.logstore","302662f557d471e9272b2bc4a56b0f9d"
"acs","acs.sls.project","91d1adc933c19d5f07ffc486ccef85e1","contains","acs","acs.sls.logstore","d3f22e06e2bbca51d37f1d231a15eb32"
